CYCLES;0xD1;0xD2;0xE0;0xE1;0xE2;0xE3
1853;0;0;32;233;5;0 
1686;0;0;47;150;9;0 
1808;0;0;25;194;9;0 
3468;0;0;50;366;9;0 
2020;0;0;32;199;8;0 
3047;0;0;38;534;9;0 
2247;0;0;41;146;10;0 
4847;0;0;35;2994;8;0 
2604;0;0;28;352;9;0 
2870;0;0;37;126;9;0 
2203;0;0;55;140;9;0 
2255;0;0;29;272;9;0 
1892;0;0;39;179;9;0 
1625;0;0;50;150;9;0 
2014;0;0;35;228;9;0 
4188;0;0;44;292;9;0 
1815;0;0;38;201;9;0 
1882;0;0;39;316;8;0 
2000;0;0;30;119;9;0 
1654;0;0;35;171;9;0 
1834;0;0;36;134;8;0 
1968;0;0;45;156;8;0 
1985;0;0;37;253;9;0 
4484;0;0;35;514;9;0 
1768;0;0;48;169;9;0 
2125;0;0;33;227;5;0 
1818;0;0;40;138;9;0 
1989;0;0;37;234;8;0 
1782;0;0;38;172;8;0 
3104;0;0;48;485;9;0 
2777;0;0;29;119;8;0 
2189;0;0;48;193;9;0 
1825;0;0;35;173;9;0 
2102;0;0;35;150;8;0 
3540;0;0;34;391;8;0 
1908;0;0;34;215;9;0 
1935;0;0;36;194;9;0 
2829;0;0;40;107;8;0 
2094;0;0;88;226;12;0 
1827;0;0;36;152;9;0 
1793;0;0;36;272;9;0 
1982;0;0;35;149;8;0 
1795;0;0;55;106;10;0 
2232;0;0;39;326;12;0 
2112;0;0;53;161;8;0 
2536;0;0;33;169;10;0 
6076;0;0;55;351;15;0 
3101;0;0;25;290;9;0 
1647;0;0;34;166;9;0 
1756;0;0;32;149;8;0 
1825;0;0;75;149;8;0 
1962;0;0;45;223;8;0 
1892;0;0;44;152;9;0 
4356;0;0;39;788;8;0 
1668;0;0;42;155;9;0 
1982;0;0;36;271;9;0 
1977;0;0;33;295;10;0 
3197;0;0;39;145;9;0 
2035;0;0;53;157;9;0 
1780;0;0;30;165;9;0 
1803;0;0;59;475;9;0 
1967;0;0;43;169;9;0 
2648;0;0;51;426;9;0 
1874;0;0;43;313;9;0 
1842;0;0;43;134;9;0 
1921;0;0;42;138;4;0 
1972;0;0;44;437;9;0 
1647;0;0;54;149;5;0 
2010;0;0;33;218;10;0 
1878;0;0;41;233;8;0 
1979;0;0;43;476;9;0 
2400;0;0;33;150;10;0 
1781;0;0;41;151;8;0 
3633;0;0;32;222;9;0 
1709;0;0;44;257;9;0 
1635;0;0;35;129;10;0 
2114;0;0;31;194;9;0 
