CYCLES;0x7A;0x86;0x87;0xC0;0xC1;0xC2
23415514;1;42;0;7758;0;2673 
23397992;1;42;0;2655;0;676 
23423731;1;42;0;9584;0;2953 
23397021;1;44;0;3046;0;1039 
23400522;1;42;0;3934;0;873 
23397203;1;42;0;2745;0;718 
23403608;1;42;0;4107;0;1108 
23398359;1;42;0;3714;0;1462 
23397229;1;42;0;3265;0;1008 
23398560;1;42;0;2320;0;598 
23427819;1;42;0;12054;0;4422 
23394967;1;42;0;2475;0;653 
23402757;1;42;0;4179;0;1167 
23397518;1;41;0;2677;0;765 
23395419;1;42;0;2404;0;641 
23393995;1;42;0;2951;0;1076 
23408603;1;42;0;6179;0;2279 
23405513;1;43;0;6086;0;2211 
23427985;1;43;0;11822;0;4164 
23402152;1;42;0;4083;0;974 
23403019;1;42;0;4301;0;1053 
23413015;1;42;0;7609;0;2596 
23397115;1;42;0;2834;0;762 
23410342;1;42;0;5690;0;1406 
23406819;1;53;0;6138;0;2083 
23396503;1;42;0;2328;0;621 
23404512;1;42;0;4374;0;1234 
23398632;1;42;0;3475;0;860 
23395134;1;42;0;2674;0;736 
23406674;1;42;0;4740;0;1352 
23405912;1;41;0;5922;0;2324 
23412414;1;42;0;7772;0;2443 
23405645;1;42;0;6215;0;2306 
23403797;1;43;0;3412;0;1083 
23400866;1;42;0;4013;0;1151 
23430933;1;42;0;12178;0;4383 
23397194;1;42;0;2948;0;810 
23400461;1;42;0;3916;0;1097 
23424062;1;68;0;10691;0;4678 
23400006;1;49;0;4391;0;1738 
23398094;1;42;0;3192;0;1021 
23395868;1;41;0;2670;0;654 
23400034;1;42;0;3950;0;1119 
23407272;1;42;0;6201;0;2288 
23395852;1;42;0;2591;0;664 
23395276;1;42;0;2455;0;631 
23395703;1;41;0;2640;0;683 
23397124;1;42;0;3155;0;977 
23403001;1;42;0;4032;0;1028 
23404975;1;42;0;6162;0;2408 
23398875;1;42;0;3678;0;834 
23400527;1;42;0;4018;0;1295 
23403820;1;42;0;3876;0;1113 
23409535;1;42;0;6472;0;2283 
23397340;1;42;0;2869;0;896 
23396154;1;42;0;2889;0;1017 
23428935;1;42;0;12083;0;4401 
23397658;1;43;0;3288;0;1001 
23414117;1;42;0;7287;0;2234 
23397711;1;42;0;2696;0;641 
23421301;1;42;0;9635;0;3034 
23396285;1;42;0;2620;0;694 
23396959;1;42;0;3334;0;1151 
23396634;1;42;0;3231;0;870 
23408061;1;43;0;5689;0;1635 
23398761;1;42;0;3308;0;909 
23401628;1;42;0;3622;0;949 
23396007;1;42;0;3082;0;938 
