CYCLES;0xD1;0xD2;0xE0;0xE1;0xE2;0xE3
543749;0;0;1727;2084;66;0 
543408;0;0;1873;3482;66;0 
541966;0;0;1715;2726;67;0 
545306;0;0;1966;5327;57;0 
541846;0;0;1751;2686;66;0 
546664;0;0;1884;6319;72;0 
544303;0;0;1757;3555;56;0 
553276;0;0;1735;10570;68;0 
540842;0;0;1789;2402;64;0 
543173;0;0;1712;4082;62;0 
542064;0;0;1787;2765;61;0 
541994;0;0;1723;2423;65;0 
546563;0;0;1728;5881;67;0 
545282;0;0;1798;4380;73;0 
542120;0;0;1743;2569;66;0 
545645;0;0;1768;2907;61;0 
545280;0;0;1749;2465;60;0 
542540;0;0;1739;3104;61;0 
553646;0;0;1752;8460;67;0 
547286;0;0;1730;3670;74;0 
543237;0;0;1773;3492;56;0 
543962;0;0;2068;4543;74;0 
543227;0;0;1746;2527;79;0 
544457;0;0;1734;3050;70;0 
543843;0;0;1767;2397;71;0 
545813;0;0;1750;6303;70;0 
543587;0;0;1904;2151;60;0 
545726;0;0;1729;6225;70;0 
544018;0;0;1906;4104;68;0 
557623;0;0;1927;4551;365;0 
543323;0;0;1758;3535;57;0 
542538;0;0;1723;3110;65;0 
541616;0;0;1721;2759;67;0 
549808;0;0;1730;6982;59;0 
541647;0;0;1735;1985;67;0 
545601;0;0;1728;5253;69;0 
541367;0;0;1730;2024;56;0 
543425;0;0;1735;3138;68;0 
546526;0;0;1756;6355;57;0 
541515;0;0;1717;3048;63;0 
558350;0;0;2674;9088;63;0 
542858;0;0;1755;3238;67;0 
544310;0;0;1908;3971;55;0 
546913;0;0;1819;5847;72;0 
553376;0;0;1750;6454;60;0 
542760;0;0;1730;3122;61;0 
541818;0;0;1759;2427;65;0 
541104;0;0;1869;2177;65;0 
547092;0;0;1747;7304;63;0 
543167;0;0;1910;4109;64;0 
545030;0;0;1795;4718;63;0 
542057;0;0;1724;2987;62;0 
542005;0;0;1762;2835;72;0 
543087;0;0;1762;3085;62;0 
545373;0;0;1815;3104;73;0 
552359;0;0;1974;6153;60;0 
543459;0;0;1760;2081;57;0 
541492;0;0;1869;1997;64;0 
543387;0;0;1740;3697;59;0 
542214;0;0;1760;2818;55;0 
544290;0;0;1882;2084;55;0 
542335;0;0;1911;2472;65;0 
546725;0;0;1735;3428;62;0 
552872;0;0;1710;6482;62;0 
544585;0;0;1875;3956;69;0 
542981;0;0;1712;3283;67;0 
542280;0;0;1730;2250;61;0 
546335;0;0;3235;3141;73;0 
543751;0;0;1732;3397;64;0 
556540;0;0;1830;10181;67;0 
543980;0;0;1742;4061;70;0 
542492;0;0;1903;2428;59;0 
541842;0;0;1720;2460;61;0 
545036;0;0;1730;4626;53;0 
553029;0;0;1734;6858;66;0 
545291;0;0;1722;4130;69;0 
542560;0;0;1735;2697;50;0 
543735;0;0;2692;2220;63;0 
541941;0;0;1724;2563;69;0 
545504;0;0;1736;3295;63;0 
544794;0;0;1733;6091;63;0 
544397;0;0;1891;4103;61;0 
542562;0;0;1806;2982;62;0 
545537;0;0;1743;3756;71;0 
545578;0;0;1738;5980;70;0 
546718;0;0;1742;5431;61;0 
546512;0;0;1827;3594;67;0 
545092;0;0;1733;5975;68;0 
545408;0;0;1950;4134;68;0 
546115;0;0;1713;4909;64;0 
545097;0;0;1738;2999;61;0 
547065;0;0;1856;4561;64;0 
541969;0;0;1889;2633;65;0 
541598;0;0;1948;2126;76;0 
544986;0;0;1728;4413;66;0 
546095;0;0;2281;3454;70;0 
557256;0;0;1744;9140;52;0 
541861;0;0;1862;2836;57;0 
542741;0;0;1920;2621;59;0 
545458;0;0;2031;2800;62;0 
545389;0;0;1733;5433;63;0 
542390;0;0;1718;3625;66;0 
541618;0;0;1880;2701;69;0 
546000;0;0;1736;3161;60;0 
541708;0;0;1745;2006;59;0 
544469;0;0;1733;2499;62;0 
543746;0;0;1726;4160;58;0 
548577;0;0;2081;4765;71;0 
542777;0;0;1726;3749;64;0 
541640;0;0;1725;2726;58;0 
542289;0;0;1745;2682;61;0 
546145;0;0;1746;2832;62;0 
547038;0;0;1741;3775;63;0 
545234;0;0;1754;2324;63;0 
543144;0;0;1740;3550;57;0 
542767;0;0;1744;2039;67;0 
544728;0;0;1741;2861;62;0 
545721;0;0;1733;6418;68;0 
575953;0;0;3259;10077;138;0 
542350;0;0;1711;2772;67;0 
546034;0;0;1723;3682;67;0 
542500;0;0;1755;2978;52;0 
553610;0;0;1964;7243;59;0 
543727;0;0;1905;2726;72;0 
542193;0;0;1903;2818;55;0 
543142;0;0;1738;2842;65;0 
540770;0;0;1813;2328;61;0 
546125;0;0;1724;6042;68;0 
544783;0;0;1740;5100;67;0 
556833;0;0;5191;8267;57;0 
546076;0;0;1743;4001;65;0 
546399;0;0;2119;4854;80;0 
542442;0;0;1754;2360;57;0 
557236;0;0;1720;6161;55;0 
541475;0;0;1754;1754;64;0 
546033;0;0;1914;6451;71;0 
545238;0;0;2127;5228;67;0 
546564;0;0;1732;6725;66;0 
547927;0;0;1739;4120;69;0 
541309;0;0;1921;2607;54;0 
544648;0;0;2057;3120;65;0 
542051;0;0;1723;3051;66;0 
543459;0;0;1890;3662;63;0 
543693;0;0;1725;3742;63;0 
555003;0;0;1806;6041;62;0 
542775;0;0;1861;2700;72;0 
542125;0;0;1748;2347;60;0 
543509;0;0;1770;3721;72;0 
543366;0;0;1721;3637;65;0 
545773;0;0;2209;4000;63;0 
542356;0;0;1884;3057;66;0 
546677;0;0;1869;3816;78;0 
541555;0;0;1778;3076;71;0 
546136;0;0;1864;4870;65;0 
546860;0;0;2001;5379;68;0 
547556;0;0;1726;4763;74;0 
545163;0;0;1967;2678;62;0 
541533;0;0;1742;2333;62;0 
543573;0;0;1725;2531;61;0 
546587;0;0;1915;4355;64;0 
542835;0;0;1961;2973;74;0 
542723;0;0;1748;3348;59;0 
