CYCLES;0xC8;0xC9;0xCA;0xCB;0xCC;0xD0
1915;0;31;1;1;7;0 
2101;0;31;1;1;6;0 
4999;0;31;1;1;11;0 
2021;0;31;1;1;9;0 
3063;0;31;1;1;7;0 
2567;0;31;1;1;12;0 
3932;0;31;1;1;7;0 
1974;0;31;1;1;7;0 
1893;0;31;1;1;6;0 
2079;0;31;1;1;10;0 
2323;0;31;1;1;12;0 
2026;0;31;1;1;10;0 
4477;0;31;1;1;6;0 
1912;0;31;1;1;7;0 
2156;0;31;1;1;9;0 
2027;0;31;1;1;6;0 
1827;0;31;1;1;8;0 
1858;0;31;1;1;8;0 
1986;0;31;1;1;8;0 
3897;0;31;1;1;8;0 
1803;0;31;1;1;9;0 
2156;0;31;1;1;7;0 
2109;0;31;1;1;8;0 
1882;0;31;1;1;11;0 
1750;0;31;1;1;11;0 
4405;0;31;1;1;8;0 
1817;0;31;1;1;5;0 
4588;0;31;1;1;10;0 
3122;0;31;1;1;7;0 
2131;0;31;1;1;7;0 
4290;0;31;1;1;7;0 
2492;0;31;1;1;8;0 
4171;0;31;1;1;11;0 
1556;0;31;1;1;7;0 
1666;0;31;1;1;8;0 
3373;0;31;1;1;9;0 
1759;0;31;1;1;12;0 
1956;0;31;1;1;10;0 
3499;0;31;1;1;8;0 
2074;0;31;1;1;7;0 
2891;0;31;1;1;10;0 
2022;0;31;1;1;13;0 
2047;0;31;1;1;12;0 
1621;0;31;1;1;6;0 
1708;0;31;1;1;6;0 
1712;0;31;1;1;7;0 
1775;0;31;1;1;9;0 
5412;0;31;1;1;10;0 
2048;0;31;1;1;9;0 
4742;0;31;1;1;9;0 
4250;0;31;1;1;7;0 
2053;0;31;1;1;7;0 
1562;0;31;1;1;11;0 
3210;0;31;1;1;9;0 
1751;0;31;1;1;10;0 
2071;0;31;1;1;8;0 
3053;0;31;1;1;11;0 
1153;0;31;1;1;7;0 
1872;0;31;1;1;9;0 
6176;0;31;1;1;11;0 
3457;0;31;1;1;12;0 
1722;0;31;1;1;7;0 
1673;0;31;1;1;8;0 
2112;0;31;1;1;8;0 
1903;0;31;1;1;12;0 
2251;0;31;1;1;8;0 
2015;0;31;1;1;6;0 
1793;0;31;1;1;9;0 
2765;0;31;1;1;7;0 
2075;0;31;1;1;7;0 
1524;0;31;1;1;9;0 
2181;0;31;1;1;7;0 
2600;0;31;1;1;13;0 
3792;0;31;1;1;7;0 
1824;0;31;1;1;7;0 
1737;0;31;1;1;7;0 
3675;0;31;1;1;8;0 
2142;0;31;1;1;9;0 
1878;0;31;1;1;10;0 
1714;0;31;1;1;8;0 
1788;0;31;1;1;8;0 
4626;0;31;1;1;11;0 
3432;0;31;1;1;9;0 
2071;0;31;1;1;7;0 
1819;0;31;1;1;7;0 
2459;0;31;1;1;7;0 
2599;0;31;1;1;8;0 
1958;0;31;1;1;12;0 
2646;0;31;1;1;8;0 
1782;0;31;1;1;10;0 
4754;0;31;1;1;9;0 
1794;0;31;1;1;10;0 
1738;0;31;1;1;8;0 
4415;0;31;1;1;9;0 
1905;0;31;1;1;7;0 
6629;0;31;1;1;12;0 
1990;0;31;1;1;11;0 
2033;0;31;1;1;7;0 
2216;0;31;1;1;9;0 
2272;0;31;1;1;7;0 
1791;0;31;1;1;7;0 
2149;0;31;1;1;10;0 
3685;0;31;1;1;8;0 
1744;0;31;1;1;8;0 
4045;0;31;1;1;7;0 
2172;0;31;1;1;6;0 
2070;0;31;1;1;9;0 
1918;0;31;1;1;10;0 
3949;0;31;1;1;8;0 
4725;0;31;1;1;7;0 
2122;0;31;1;1;7;0 
1908;0;31;1;1;8;0 
1881;0;31;1;1;12;0 
1950;0;31;1;1;6;0 
1875;0;31;1;1;10;0 
1594;0;31;1;1;11;0 
1962;0;31;1;1;8;0 
3762;0;31;1;1;7;0 
1540;0;31;1;1;11;0 
2234;0;31;1;1;7;0 
1709;0;31;1;1;9;0 
2185;0;31;1;1;9;0 
1945;0;31;1;1;7;0 
1883;0;31;1;1;8;0 
1765;0;31;1;1;7;0 
1933;0;31;1;1;8;0 
2277;0;31;1;1;9;0 
4163;0;31;1;1;6;0 
4877;0;31;1;1;7;0 
1318;0;31;1;1;9;0 
6348;0;31;1;1;11;0 
1826;0;31;1;1;5;0 
2053;0;31;1;1;7;0 
2079;0;31;1;1;9;0 
1896;0;31;1;1;10;0 
1928;0;31;1;1;8;0 
1800;0;31;1;1;8;0 
2038;0;31;1;1;8;0 
2024;0;31;1;1;10;0 
3821;0;31;1;1;7;0 
1871;0;31;1;1;5;0 
1706;0;31;1;1;11;0 
1986;0;31;1;1;9;0 
1877;0;31;1;1;6;0 
3629;0;31;1;1;7;0 
1872;0;31;1;1;7;0 
4836;0;31;1;1;9;0 
2504;0;31;1;1;7;0 
3860;0;31;1;1;8;0 
5884;0;31;1;1;9;0 
1552;0;31;1;1;13;0 
2191;0;31;1;1;6;0 
2087;0;31;1;1;9;0 
2055;0;31;1;1;5;0 
1919;0;31;1;1;12;0 
1823;0;31;1;1;6;0 
1725;0;31;1;1;6;0 
1736;0;31;1;1;9;0 
2274;0;31;1;1;10;0 
1901;0;31;1;1;8;0 
2145;0;31;1;1;6;0 
3653;0;31;1;1;9;0 
4062;0;31;1;1;7;0 
2466;0;31;1;1;6;0 
2110;0;31;1;1;7;0 
4390;0;31;1;1;7;0 
1972;0;31;1;1;7;0 
1867;0;31;1;1;6;0 
1842;0;31;1;1;7;0 
2282;0;31;1;1;7;0 
4924;0;31;1;1;9;0 
1799;0;31;1;1;11;0 
2498;0;31;1;1;13;0 
1529;0;31;1;1;8;0 
1876;0;31;1;1;7;0 
1226;0;31;1;1;10;0 
2163;0;31;1;1;9;0 
2730;0;31;1;1;8;0 
3182;0;31;1;1;7;0 
1989;0;31;1;1;7;0 
2198;0;31;1;1;7;0 
2166;0;31;1;1;8;0 
2306;0;31;1;1;10;0 
1694;0;31;1;1;6;0 
1618;0;31;1;1;8;0 
2891;0;31;1;1;7;0 
3437;0;31;1;1;12;0 
3751;0;31;1;1;10;0 
3970;0;31;1;1;8;0 
4689;0;31;1;1;8;0 
1802;0;31;1;1;8;0 
3988;0;31;1;1;9;0 
4067;0;31;1;1;8;0 
1791;0;31;1;1;12;0 
1938;0;31;1;1;7;0 
1791;0;31;1;1;10;0 
1581;0;31;1;1;9;0 
1777;0;31;1;1;7;0 
1846;0;31;1;1;10;0 
1800;0;31;1;1;11;0 
1752;0;31;1;1;8;0 
2187;0;31;1;1;9;0 
1632;0;31;1;1;9;0 
1675;0;31;1;1;7;0 
1960;0;31;1;1;7;0 
3741;0;31;1;1;12;0 
2171;0;31;1;1;7;0 
6771;0;31;1;1;11;0 
1731;0;31;1;1;7;0 
1920;0;31;1;1;7;0 
1749;0;31;1;1;8;0 
1984;0;31;1;1;8;0 
1719;0;31;1;1;9;0 
1554;0;31;1;1;8;0 
1883;0;31;1;1;9;0 
4316;0;31;1;1;7;0 
4122;0;31;1;1;8;0 
3944;0;31;1;1;13;0 
1824;0;31;1;1;11;0 
2256;0;31;1;1;10;0 
2825;0;31;1;1;6;0 
5106;0;31;1;1;11;0 
2448;0;31;1;1;11;0 
2451;0;31;1;1;7;0 
1757;0;31;1;1;8;0 
1743;0;31;1;1;7;0 
1991;0;31;1;1;7;0 
2040;0;31;1;1;12;0 
2732;0;31;1;1;6;0 
1924;0;31;1;1;7;0 
1609;0;31;1;1;9;0 
1814;0;31;1;1;6;0 
2142;0;31;1;1;9;0 
2074;0;31;1;1;10;0 
2569;0;31;1;1;7;0 
3683;0;31;1;1;10;0 
1804;0;31;1;1;9;0 
1917;0;31;1;1;7;0 
1887;0;31;1;1;9;0 
2338;0;31;1;1;11;0 
2311;0;31;1;1;7;0 
1983;0;31;1;1;11;0 
2235;0;31;1;1;9;0 
1925;0;31;1;1;12;0 
2992;0;31;1;1;6;0 
1768;0;31;1;1;8;0 
2128;0;31;1;1;11;0 
1816;0;31;1;1;8;0 
1725;0;31;1;1;8;0 
1986;0;31;1;1;9;0 
2029;0;31;1;1;8;0 
1843;0;31;1;1;8;0 
2052;0;31;1;1;9;0 
2470;0;31;1;1;10;0 
1695;0;31;1;1;12;0 
2164;0;31;1;1;9;0 
1713;0;31;1;1;7;0 
4932;0;31;1;1;7;0 
3819;0;31;1;1;12;0 
1909;0;31;1;1;8;0 
2148;0;31;1;1;7;0 
1748;0;31;1;1;7;0 
1822;0;31;1;1;9;0 
2563;0;31;1;1;10;0 
2366;0;31;1;1;7;0 
4502;0;31;1;1;8;0 
2288;0;31;1;1;7;0 
1652;0;31;1;1;5;0 
1846;0;31;1;1;7;0 
1975;0;31;1;1;8;0 
4187;0;31;1;1;6;0 
4690;0;31;1;1;9;0 
2034;0;31;1;1;11;0 
1690;0;31;1;1;6;0 
4657;0;31;1;1;9;0 
2781;0;31;1;1;11;0 
1884;0;31;1;1;10;0 
2097;0;31;1;1;7;0 
2061;0;31;1;1;11;0 
1555;0;31;1;1;9;0 
4053;0;31;1;1;7;0 
4801;0;31;1;1;6;0 
3774;0;31;1;1;8;0 
1976;0;31;1;1;11;0 
2618;0;31;1;1;7;0 
1866;0;31;1;1;7;0 
1804;0;31;1;1;8;0 
1734;0;31;1;1;11;0 
3151;0;31;1;1;7;0 
1863;0;31;1;1;7;0 
1836;0;31;1;1;11;0 
2144;0;31;0;0;7;0 
5775;0;31;1;1;11;0 
1817;0;31;1;1;5;0 
3687;0;31;1;1;5;0 
1873;0;31;1;1;8;0 
2014;0;31;1;1;9;0 
1839;0;31;1;1;7;0 
1763;0;31;1;1;10;0 
3392;0;31;1;1;5;0 
1812;0;31;1;1;6;0 
2778;0;31;1;1;7;0 
2019;0;31;1;1;8;0 
1850;0;31;1;1;9;0 
1778;0;31;1;1;7;0 
4449;0;31;1;1;9;0 
2095;0;31;1;1;8;0 
2645;0;31;1;1;8;0 
1952;0;31;1;1;9;0 
2381;0;31;1;1;6;0 
2098;0;31;1;1;11;0 
2052;0;31;1;1;7;0 
3595;0;31;1;1;5;0 
1926;0;31;1;1;6;0 
1993;0;31;1;1;10;0 
3542;0;31;1;1;6;0 
4190;0;31;1;1;6;0 
4278;0;31;1;1;11;0 
3904;0;31;1;1;7;0 
1712;0;31;1;1;8;0 
2243;0;31;1;1;12;0 
1955;0;31;1;1;8;0 
1963;0;31;1;1;9;0 
4898;0;31;1;1;7;0 
1696;0;31;1;1;8;0 
1599;0;31;1;1;6;0 
2183;0;31;1;1;9;0 
1922;0;31;1;1;8;0 
2059;0;31;1;1;6;0 
1667;0;31;1;1;8;0 
3929;0;31;1;1;13;0 
1943;0;31;1;1;6;0 
1943;0;31;1;1;8;0 
4183;0;31;1;1;8;0 
1669;0;31;1;1;7;0 
1824;0;31;1;1;8;0 
1726;0;31;1;1;9;0 
1974;0;31;1;1;10;0 
2043;0;31;1;1;7;0 
1221;0;31;1;1;7;0 
1958;0;31;1;1;7;0 
4259;0;31;1;1;12;0 
3973;0;31;1;1;11;0 
1957;0;31;1;1;7;0 
1944;0;31;1;1;9;0 
2161;0;31;1;1;8;0 
1946;0;31;1;1;11;0 
1987;0;31;1;1;9;0 
4400;0;31;1;1;11;0 
3757;0;31;1;1;12;0 
1667;0;31;1;1;7;0 
3884;0;31;1;1;7;0 
1927;0;31;1;1;8;0 
3719;0;31;1;1;11;0 
2605;0;31;1;1;9;0 
1895;0;31;1;1;8;0 
2135;0;31;1;1;7;0 
2034;0;31;1;1;10;0 
2023;0;31;1;1;8;0 
1709;0;31;1;1;10;0 
4213;0;31;1;1;8;0 
3728;0;31;1;1;7;0 
1615;0;31;1;1;12;0 
1989;0;31;1;1;8;0 
4300;0;31;1;1;9;0 
3429;0;31;1;1;11;0 
3389;0;31;1;1;10;0 
1635;0;31;1;1;6;0 
2046;0;31;1;1;8;0 
1857;0;31;1;1;6;0 
3760;0;31;1;1;10;0 
2188;0;31;1;1;7;0 
3201;0;31;1;1;8;0 
2433;0;31;1;1;10;0 
1573;0;31;1;1;7;0 
1780;0;31;1;1;7;0 
2246;0;31;1;1;9;0 
3099;0;31;1;1;7;0 
4248;0;31;1;1;4;0 
4474;0;31;1;1;8;0 
2429;0;31;1;1;11;0 
1972;0;31;1;1;8;0 
2363;0;31;1;1;9;0 
1664;0;31;1;1;8;0 
1766;0;31;1;1;7;0 
2109;0;31;1;1;6;0 
1818;0;31;1;1;8;0 
4615;0;31;1;1;11;0 
1879;0;31;1;1;6;0 
1985;0;31;1;1;12;0 
1996;0;31;1;1;8;0 
1793;0;31;1;1;7;0 
2233;0;31;1;1;7;0 
1692;0;31;1;1;5;0 
1888;0;31;1;1;11;0 
1675;0;31;1;1;8;0 
1729;0;31;1;1;9;0 
1806;0;31;1;1;12;0 
1988;0;31;1;1;8;0 
2063;0;31;1;1;11;0 
4400;0;31;1;1;6;0 
4914;0;31;1;1;13;0 
1850;0;31;1;1;10;0 
2237;0;31;1;1;6;0 
2685;0;31;1;1;8;0 
2343;0;31;1;1;7;0 
1754;0;31;1;1;9;0 
2099;0;31;1;1;11;0 
1930;0;31;1;1;7;0 
