CYCLES;0x18;0x19;0x1A;0x1D;0x1E;0x60
1812;1;56;0;906;0;52 
1619;0;40;0;809;0;40 
2247;2;60;0;1124;0;52 
1768;1;44;0;884;0;40 
1685;0;48;0;843;0;48 
1939;5;64;0;970;0;44 
1810;3;56;0;905;0;44 
1932;5;68;0;966;0;48 
2001;1;48;0;1001;0;44 
1900;5;72;0;950;0;52 
1817;0;44;0;908;0;44 
1944;0;40;0;972;0;40 
2317;1;36;0;1159;0;32 
1839;2;52;0;920;0;44 
2097;2;56;0;1048;0;48 
2716;8;84;0;1358;0;52 
1663;1;48;0;832;0;44 
1601;2;48;0;800;0;40 
1970;0;48;0;985;0;48 
2041;5;68;0;1020;0;48 
1890;1;52;0;945;0;48 
1975;3;60;0;988;0;48 
1807;3;56;0;904;0;44 
1369;1;36;0;685;0;32 
1930;1;44;0;965;0;40 
2046;7;68;0;1023;0;40 
2271;4;68;0;1135;0;52 
1894;2;56;0;947;0;48 
2055;1;48;0;1028;0;44 
1959;3;60;0;980;0;48 
2019;1;44;0;1010;0;40 
1804;0;40;0;902;0;40 
3614;1;28;0;1807;0;24 
1357;2;40;0;678;0;32 
1398;1;32;0;699;0;28 
4705;3;60;0;2352;0;48 
1809;4;60;0;905;0;44 
1884;2;64;0;942;0;56 
1974;4;64;0;987;0;48 
2002;2;56;0;1001;0;48 
2096;2;56;0;1048;0;48 
1597;2;52;0;798;0;44 
1684;2;36;0;842;0;28 
1549;0;36;0;775;0;36 
2488;1;56;0;1244;0;52 
2164;9;84;0;1082;0;48 
2067;0;52;0;1034;0;52 
2023;3;56;0;1011;0;44 
2386;3;60;0;1193;0;48 
5054;0;52;0;2527;0;52 
2143;7;80;0;1071;0;52 
2100;5;72;0;1050;0;52 
1532;2;44;0;766;0;36 
1782;3;52;0;891;0;40 
4182;1;52;0;2091;0;48 
3293;6;72;0;1647;0;48 
1838;1;52;0;919;0;48 
1913;2;56;0;957;0;48 
2236;3;64;0;1118;0;52 
4422;2;52;0;2211;0;44 
1576;1;40;0;788;0;36 
2779;8;76;0;1390;0;44 
1777;0;40;0;889;0;40 
1996;2;60;0;998;0;52 
1994;1;52;0;997;0;48 
2894;7;68;0;1447;0;44 
1575;0;44;0;788;0;44 
1401;3;44;0;700;0;32 
1695;5;60;0;848;0;40 
1788;2;52;0;894;0;44 
1924;1;56;0;962;0;52 
4951;6;64;0;2476;0;48 
4742;4;60;0;2371;0;44 
4058;3;52;0;2029;0;40 
1999;1;48;0;1000;0;44 
3992;10;76;0;1996;0;48 
1956;0;48;0;978;0;48 
4480;1;56;0;2240;0;52 
3652;3;60;0;1826;0;48 
1938;2;52;0;969;0;44 
1824;0;44;0;912;0;44 
5462;3;64;0;2731;0;52 
4355;2;56;0;2177;0;48 
1971;0;44;0;986;0;44 
2110;9;76;0;1055;0;40 
1953;3;68;0;977;0;56 
1994;5;68;0;997;0;48 
2070;3;56;0;1035;0;44 
2079;3;56;0;1040;0;44 
1876;1;44;0;938;0;40 
2034;3;64;0;1017;0;52 
1697;1;52;0;849;0;48 
3905;5;72;0;1953;0;52 
2009;1;44;0;1005;0;40 
1467;3;52;0;733;0;40 
1951;2;60;0;976;0;52 
4061;0;52;0;2031;0;52 
1795;3;56;0;898;0;44 
2026;5;64;0;1013;0;44 
2138;0;48;0;1069;0;48 
4780;2;60;0;2390;0;52 
1702;3;56;0;851;0;44 
4848;2;56;0;2424;0;48 
2511;2;52;0;1256;0;44 
3060;3;60;0;1530;0;48 
2790;1;48;0;1395;0;44 
1994;3;64;0;997;0;52 
1885;2;52;0;943;0;44 
4950;1;44;0;2475;0;40 
2152;2;64;0;1076;0;56 
1917;0;48;0;959;0;48 
4585;0;44;0;2293;0;44 
1717;1;52;0;859;0;48 
1676;2;48;0;838;0;40 
1801;1;44;0;900;0;40 
1828;1;40;0;914;0;36 
4183;3;64;0;2091;0;52 
3127;0;48;0;1564;0;48 
2000;3;52;0;1000;0;40 
1903;2;52;0;952;0;44 
1770;1;48;0;885;0;44 
4551;2;60;0;2275;0;52 
1973;0;44;0;987;0;44 
4233;2;48;0;2116;0;40 
1646;2;44;0;823;0;36 
1614;1;36;0;807;0;32 
1895;1;48;0;948;0;44 
1794;1;48;0;897;0;44 
2173;1;44;0;1087;0;40 
1663;0;44;0;831;0;44 
1383;0;24;0;691;0;24 
4627;2;52;0;2314;0;44 
1901;8;78;0;950;0;48 
1814;2;52;0;907;0;44 
1966;4;68;0;983;0;52 
1802;2;56;0;901;0;48 
1706;1;48;0;853;0;44 
1635;4;56;0;817;0;40 
3238;2;48;0;1619;0;40 
1273;4;40;0;636;0;24 
1428;3;48;0;714;0;36 
1924;4;64;0;962;0;48 
2711;8;80;0;1355;0;48 
4906;3;64;0;2453;0;52 
2180;2;60;0;1090;0;52 
2056;2;56;0;1028;0;48 
2181;4;68;0;1090;0;52 
1701;0;40;0;851;0;40 
3306;4;68;0;1653;0;52 
1815;3;56;0;908;0;44 
3260;2;40;0;1630;0;32 
1947;3;52;0;974;0;40 
3725;10;96;0;1862;0;56 
2021;3;56;0;1011;0;44 
3850;3;64;0;1925;0;52 
1990;2;44;0;995;0;36 
2320;2;64;0;1160;0;56 
3710;2;48;0;1855;0;40 
1936;1;52;0;968;0;48 
1851;4;52;0;925;0;36 
2286;3;56;0;1143;0;44 
1735;2;52;0;868;0;44 
1679;2;52;0;840;0;44 
2650;5;64;0;1325;0;44 
1790;2;52;0;895;0;44 
1896;3;60;0;948;0;48 
1934;4;60;0;967;0;44 
1999;1;48;0;1000;0;44 
1822;1;56;0;911;0;52 
1993;1;48;0;997;0;44 
2299;4;68;0;1149;0;52 
2054;1;48;0;1027;0;44 
1830;2;56;0;915;0;48 
2360;8;88;0;1180;0;56 
1590;1;44;0;795;0;40 
1804;4;60;0;902;0;44 
2550;1;44;0;1275;0;40 
2937;1;56;0;1469;0;52 
1993;2;60;0;997;0;52 
3358;4;60;0;1679;0;44 
4223;2;48;0;2112;0;40 
1663;3;52;0;832;0;40 
2138;0;48;0;1069;0;48 
2271;5;59;0;1135;0;40 
2027;3;60;0;1014;0;48 
1741;3;56;0;871;0;44 
2102;3;64;0;1051;0;52 
1817;5;60;0;909;0;40 
2072;2;56;0;1036;0;48 
6332;1;44;0;3166;0;44 
998;3;32;0;499;0;20 
5093;1;48;0;2546;0;44 
1653;2;52;0;826;0;44 
3726;10;76;0;1863;0;52 
4590;3;52;0;2295;0;40 
2092;3;56;0;1046;0;44 
2228;1;48;0;1114;0;44 
1354;2;48;0;677;0;40 
1775;2;60;0;888;0;52 
2477;6;92;0;1239;0;68 
3643;1;48;0;1822;0;44 
2049;3;52;0;1025;0;40 
1944;2;56;0;972;0;48 
2063;7;80;0;1032;0;52 
2003;1;52;0;1002;0;48 
1828;3;60;0;914;0;48 
4964;0;44;0;2482;0;44 
2225;2;56;0;1113;0;48 
4021;1;48;0;2011;0;44 
3042;2;48;0;1521;0;40 
1847;6;64;0;923;0;40 
1703;3;52;0;852;0;40 
1851;3;56;0;925;0;44 
2114;1;52;0;1057;0;48 
1794;3;56;0;897;0;44 
4223;4;60;0;2112;0;44 
2151;3;64;0;1076;0;52 
1837;4;60;0;919;0;44 
1806;2;56;0;903;0;48 
1431;2;40;0;715;0;32 
1534;2;48;0;767;0;40 
1916;2;48;0;958;0;40 
3085;1;52;0;1542;0;48 
1629;1;52;0;814;0;48 
2302;0;52;0;1151;0;52 
1865;3;60;0;932;0;48 
1725;0;36;0;862;0;36 
1719;3;60;0;860;0;48 
1917;2;56;0;959;0;48 
1942;2;56;0;971;0;48 
2015;2;44;0;1008;0;36 
1890;2;52;0;945;0;44 
4085;5;68;0;2043;0;48 
2227;2;40;0;1114;0;36 
1996;1;60;0;998;0;56 
1694;3;48;0;847;0;36 
2954;3;64;0;1477;0;52 
1450;1;40;0;725;0;36 
4449;1;44;0;2225;0;40 
1740;2;56;0;870;0;48 
2182;5;68;0;1091;0;48 
8745;1;44;0;4373;0;40 
2041;2;52;0;1021;0;44 
3511;2;40;0;1755;0;32 
1757;3;56;0;879;0;44 
3077;2;60;0;1538;0;52 
1770;1;52;0;885;0;48 
4564;1;44;0;2282;0;40 
2087;5;56;0;1043;0;36 
1762;2;48;0;881;0;40 
4138;1;44;0;2069;0;40 
4197;0;36;0;2099;0;36 
1836;6;64;0;918;0;40 
1607;1;36;0;803;0;32 
1901;2;56;0;951;0;48 
2076;7;76;0;1038;0;48 
1894;1;52;0;947;0;48 
4668;0;48;0;2334;0;48 
2094;1;52;0;1047;0;48 
2850;4;60;0;1425;0;44 
1979;1;52;0;990;0;48 
1625;1;44;0;812;0;40 
2005;1;44;0;1003;0;40 
1629;0;44;0;814;0;44 
3081;2;56;0;1540;0;48 
4532;12;100;0;2266;0;52 
1685;2;52;0;843;0;44 
5370;3;64;0;2685;0;52 
2211;1;44;0;1105;0;40 
1958;4;56;0;979;0;40 
1511;3;52;0;756;0;40 
1858;4;60;0;929;0;44 
1969;1;52;0;984;0;48 
4289;0;40;0;2145;0;40 
3502;0;48;0;1751;0;48 
5065;10;88;0;2532;0;48 
1960;2;52;0;980;0;44 
1947;2;56;0;974;0;48 
1840;0;44;0;920;0;44 
3616;4;64;0;1808;0;48 
1780;3;64;0;890;0;52 
1959;1;48;0;980;0;44 
1914;3;48;0;957;0;36 
1851;1;52;0;926;0;48 
1911;2;60;0;956;0;52 
2748;2;52;0;1374;0;44 
1671;1;44;0;835;0;40 
1698;0;48;0;849;0;48 
3310;4;68;0;1655;0;52 
4818;1;48;0;2409;0;44 
4466;1;40;0;2233;0;36 
2017;3;64;0;1009;0;52 
1862;2;52;0;931;0;44 
1709;3;52;0;855;0;40 
2104;0;44;0;1052;0;44 
1681;1;56;0;840;0;52 
2772;10;88;0;1386;0;48 
1704;1;48;0;852;0;44 
1987;3;56;0;994;0;44 
1956;2;48;0;978;0;40 
1620;1;44;0;810;0;40 
2225;1;56;0;1113;0;52 
1983;1;44;0;991;0;40 
1500;0;40;0;750;0;40 
1637;2;44;0;819;0;36 
1698;2;48;0;849;0;40 
2343;4;60;0;1172;0;44 
1602;0;48;0;801;0;48 
1802;5;57;0;901;0;40 
1858;2;56;0;929;0;48 
2007;4;56;0;1004;0;40 
3643;2;48;0;1822;0;40 
6631;1;52;0;3315;0;52 
1646;3;40;0;823;0;28 
3334;1;40;0;1667;0;36 
1960;4;64;0;980;0;48 
3693;10;92;0;1847;0;52 
3429;2;56;0;1714;0;48 
1963;5;72;0;982;0;52 
2263;2;56;0;1132;0;48 
2036;0;40;0;1018;0;40 
1695;0;44;0;847;0;44 
3397;4;64;0;1698;0;48 
2061;1;24;0;1030;0;20 
1875;4;60;0;938;0;44 
2179;1;56;0;1090;0;52 
2434;9;92;0;1217;0;56 
4723;1;48;0;2362;0;44 
4363;1;44;0;2182;0;40 
2272;5;68;0;1136;0;48 
1879;1;52;0;939;0;48 
2012;2;52;0;1006;0;44 
7455;5;60;0;3728;0;44 
1284;2;36;0;642;0;28 
1779;2;52;0;890;0;44 
4023;3;48;0;2012;0;36 
2632;10;96;0;1316;0;56 
1732;1;52;0;866;0;48 
1897;4;60;0;949;0;44 
1975;5;72;0;987;0;52 
2096;2;52;0;1048;0;44 
1873;1;44;0;937;0;40 
1658;4;52;0;829;0;36 
2758;3;60;0;1379;0;48 
4806;0;48;0;2403;0;48 
1845;1;52;0;923;0;48 
2180;0;44;0;1090;0;44 
1658;3;56;0;829;0;44 
1610;1;44;0;805;0;40 
2241;4;60;0;1121;0;44 
1928;2;60;0;964;0;52 
2143;0;56;0;1072;0;56 
1862;3;60;0;931;0;48 
2106;4;56;0;1053;0;40 
1655;3;52;0;827;0;40 
3690;2;48;0;1845;0;40 
1776;2;48;0;888;0;40 
1926;0;48;0;963;0;48 
1860;0;48;0;930;0;48 
2094;0;48;0;1047;0;48 
1922;2;56;0;961;0;48 
1676;0;40;0;838;0;40 
2360;4;72;0;1180;0;56 
4062;0;36;0;2031;0;36 
4942;4;68;0;2471;0;52 
2138;8;76;0;1069;0;44 
2676;0;40;0;1338;0;40 
2063;3;64;0;1032;0;52 
1979;5;68;0;990;0;48 
2017;3;56;0;1009;0;44 
3748;3;60;0;1874;0;48 
1711;2;48;0;856;0;40 
1717;2;52;0;859;0;44 
1968;1;44;0;984;0;40 
1568;1;40;0;784;0;36 
3807;6;72;0;1904;0;48 
3062;0;40;0;1531;0;40 
1780;2;52;0;890;0;44 
4971;1;56;0;2486;0;52 
1654;1;48;0;827;0;44 
4499;1;56;0;2249;0;52 
2123;2;60;0;1062;0;52 
1253;3;32;0;627;0;20 
1648;1;52;0;824;0;48 
1789;1;48;0;895;0;44 
2013;4;68;0;1007;0;52 
3167;2;60;0;1583;0;52 
1831;2;52;0;916;0;44 
3409;2;52;0;1705;0;44 
2744;3;60;0;1372;0;48 
2371;2;60;0;1185;0;52 
3069;3;52;0;1535;0;40 
2037;1;40;0;1019;0;36 
2374;2;60;0;1187;0;52 
4359;2;60;0;2180;0;52 
3830;10;84;0;1915;0;48 
1928;1;52;0;964;0;48 
4714;2;68;0;2357;0;60 
2042;5;60;0;1021;0;40 
1979;2;60;0;989;0;52 
1567;1;52;0;784;0;48 
4613;4;72;0;2307;0;56 
1231;1;28;0;615;0;24 
1863;2;48;0;932;0;40 
2152;0;48;0;1076;0;48 
4129;13;92;0;2065;0;56 
1983;3;60;0;991;0;48 
2100;2;56;0;1050;0;48 
